Reprocess Remarks,Top Clients,Total
Relieving letter not uploaded,Axis Bank Limited,2145
Update experience details,Axis Bank Limited,2145
Relieving letter not uploaded,Poonawalla Fincorp Limited,697
Update experience details,Poonawalla Fincorp Limited,697
Relieving letter not uploaded,Vodafone Idea Limited,8
Update experience details,Vodafone Idea Limited,8
Relieving letter not uploaded,Samsung India Electronics Private Limited,5
Update experience details,Samsung India Electronics Private Limited,5
Relieving letter not uploaded,Tvs Credit,3
Update experience details,Tvs Credit,3
Relieving letter not uploaded,Xiaomi Technology India Private Limited,2
Update experience details,Xiaomi Technology India Private Limited,2
Relieving letter not uploaded,Instakart Services Private Limited,1
Update experience details,Instakart Services Private Limited,1
Relieving letter not uploaded,Reliance Projects And Property Management Services Limited,1
Update experience details,Reliance Projects And Property Management Services Limited,1
PAN name mismatch,Sbi Cards And Payment Services Limited,1042
Upload PAN card,Sbi Cards And Payment Services Limited,1042
PAN name mismatch,Samsung India Electronics Private Limited,196
Upload PAN card,Samsung India Electronics Private Limited,196
PAN name mismatch,Xiaomi Technology India Private Limited,159
Upload PAN card,Xiaomi Technology India Private Limited,159
PAN name mismatch,Behariji Mills Pvt Ltd,121
Upload PAN card,Behariji Mills Pvt Ltd,121
PAN name mismatch,Reliance Projects And Property Management Services Limited,88
Upload PAN card,Reliance Projects And Property Management Services Limited,88
PAN name mismatch,Bharti Airtel Services Limited,33
Upload PAN card,Bharti Airtel Services Limited,33
PAN name mismatch,Poonawalla Fincorp Limited,31
Upload PAN card,Poonawalla Fincorp Limited,31
PAN name mismatch,Bharti Airtel Limited,29
Upload PAN card,Bharti Airtel Limited,29
PAN name mismatch,State Bank Of India,24
Upload PAN card,State Bank Of India,24
PAN name mismatch,Hindustan Field Services Pvt Ltd,8
Upload PAN card,Hindustan Field Services Pvt Ltd,8
PAN name mismatch,Instakart Services Private Limited,6
Upload PAN card,Instakart Services Private Limited,6
PAN name mismatch,Pocket Entertainment Ventures Private Limited,6
Upload PAN card,Pocket Entertainment Ventures Private Limited,6
PAN name mismatch,Vodafone Idea Limited,5
Upload PAN card,Vodafone Idea Limited,5
PAN name mismatch,Urban Company Limited,5
Upload PAN card,Urban Company Limited,5
PAN name mismatch,Tvs Credit,3
Upload PAN card,Tvs Credit,3
Valid profile photo required,Sbi Cards And Payment Services Limited,269
Valid profile photo required,Instakart Services Private Limited,259
Valid profile photo required,Samsung India Electronics Private Limited,179
Valid profile photo required,Hindustan Field Services Pvt Ltd,149
Valid profile photo required,Tml Commercial Vehicles Limited,121
Valid profile photo required,Bharti Airtel Limited,95
Valid profile photo required,Tvs Credit,77
Valid profile photo required,Poonawalla Fincorp Limited,60
Valid profile photo required,Xiaomi Technology India Private Limited,58
Valid profile photo required,Reliance Projects And Property Management Services Limited,54
Valid profile photo required,Urban Company Limited,49
Valid profile photo required,Bharti Airtel Services Limited,45
Valid profile photo required,Aditya Birla Lifestyle Brands Limited,45
Valid profile photo required,Pocket Entertainment Ventures Private Limited,45
Valid profile photo required,Behariji Mills Pvt Ltd,34
Valid profile photo required,State Bank Of India,31
Valid profile photo required,Vodafone Idea Limited,29
Valid profile photo required,Havells India Limited,21
Valid profile photo required,Canara Hsbc Life Insurance Company Limited,7
Update present address/proof,Sbi Cards And Payment Services Limited,1585
Update present address/proof,State Bank Of India,1
Update present address/proof,Hindustan Field Services Pvt Ltd,1
Experience letter not uploaded,Poonawalla Fincorp Limited,699
Update experience details,Poonawalla Fincorp Limited,699
Experience letter not uploaded,Samsung India Electronics Private Limited,265
Update experience details,Samsung India Electronics Private Limited,265
Experience letter not uploaded,Xiaomi Technology India Private Limited,105
Update experience details,Xiaomi Technology India Private Limited,105
Experience letter not uploaded,Behariji Mills Pvt Ltd,82
Update experience details,Behariji Mills Pvt Ltd,82
Experience letter not uploaded,Sbi Cards And Payment Services Limited,74
Update experience details,Sbi Cards And Payment Services Limited,74
Experience letter not uploaded,Vodafone Idea Limited,63
Update experience details,Vodafone Idea Limited,63
Experience letter not uploaded,Reliance Projects And Property Management Services Limited,50
Update experience details,Reliance Projects And Property Management Services Limited,50
Experience letter not uploaded,State Bank Of India,49
Update experience details,State Bank Of India,49
Experience letter not uploaded,Tvs Credit,34
Update experience details,Tvs Credit,34
Experience letter not uploaded,Axis Bank Limited,32
Update experience details,Axis Bank Limited,32
Experience letter not uploaded,Aditya Birla Lifestyle Brands Limited,20
Update experience details,Aditya Birla Lifestyle Brands Limited,20
Experience letter not uploaded,Instakart Services Private Limited,6
Update experience details,Instakart Services Private Limited,6
Experience letter not uploaded,Urban Company Limited,6
Update experience details,Urban Company Limited,6
Experience letter not uploaded,Havells India Limited,6
Update experience details,Havells India Limited,6
Experience letter not uploaded,Bharti Airtel Services Limited,2
Update experience details,Bharti Airtel Services Limited,2
Experience letter not uploaded,Hindustan Field Services Pvt Ltd,1
Update experience details,Hindustan Field Services Pvt Ltd,1
Experience letter not uploaded,Tml Commercial Vehicles Limited,1
Update experience details,Tml Commercial Vehicles Limited,1
Experience letter not uploaded,Pocket Entertainment Ventures Private Limited,1
Update experience details,Pocket Entertainment Ventures Private Limited,1
Valid profile photo required,Tvs Credit,174
Valid profile photo required,Samsung India Electronics Private Limited,158
Valid profile photo required,Tml Commercial Vehicles Limited,138
Valid profile photo required,Urban Company Limited,118
Valid profile photo required,Bharti Airtel Limited,106
Valid profile photo required,Hindustan Field Services Pvt Ltd,90
Valid profile photo required,Instakart Services Private Limited,79
Valid profile photo required,Pocket Entertainment Ventures Private Limited,76
Valid profile photo required,Reliance Projects And Property Management Services Limited,69
Valid profile photo required,Aditya Birla Lifestyle Brands Limited,64
Valid profile photo required,Behariji Mills Pvt Ltd,57
Valid profile photo required,Sbi Cards And Payment Services Limited,50
Valid profile photo required,Axis Bank Limited,49
Valid profile photo required,Bharti Airtel Services Limited,42
Valid profile photo required,Vodafone Idea Limited,29
Valid profile photo required,Xiaomi Technology India Private Limited,17
Valid profile photo required,Havells India Limited,16
Valid profile photo required,Poonawalla Fincorp Limited,7
Valid profile photo required,State Bank Of India,4
Valid profile photo required,Canara Hsbc Life Insurance Company Limited,3
Update experience details,Tvs Credit,252
Upload experience letter,Tvs Credit,252
Update experience details,Aditya Birla Lifestyle Brands Limited,213
Upload experience letter,Aditya Birla Lifestyle Brands Limited,213
Update experience details,Samsung India Electronics Private Limited,112
Upload experience letter,Samsung India Electronics Private Limited,112
Update experience details,Instakart Services Private Limited,111
Upload experience letter,Instakart Services Private Limited,111
Update experience details,Havells India Limited,89
Upload experience letter,Havells India Limited,89
Update experience details,Vodafone Idea Limited,83
Upload experience letter,Vodafone Idea Limited,83
Update experience details,Urban Company Limited,66
Upload experience letter,Urban Company Limited,66
Update experience details,Sbi Cards And Payment Services Limited,45
Upload experience letter,Sbi Cards And Payment Services Limited,45
Update experience details,Xiaomi Technology India Private Limited,43
Upload experience letter,Xiaomi Technology India Private Limited,43
Update experience details,Pocket Entertainment Ventures Private Limited,34
Upload experience letter,Pocket Entertainment Ventures Private Limited,34
Update experience details,State Bank Of India,33
Upload experience letter,State Bank Of India,33
Update experience details,Hindustan Field Services Pvt Ltd,25
Upload experience letter,Hindustan Field Services Pvt Ltd,25
Update experience details,Poonawalla Fincorp Limited,22
Upload experience letter,Poonawalla Fincorp Limited,22
Update experience details,Behariji Mills Pvt Ltd,15
Upload experience letter,Behariji Mills Pvt Ltd,15
Update experience details,Reliance Projects And Property Management Services Limited,8
Upload experience letter,Reliance Projects And Property Management Services Limited,8
Update experience details,Bharti Airtel Limited,1
Upload experience letter,Bharti Airtel Limited,1
Update experience details,Tvs Credit,179
Update experience details,Poonawalla Fincorp Limited,169
Update experience details,Aditya Birla Lifestyle Brands Limited,163
Update experience details,Samsung India Electronics Private Limited,111
Update experience details,Urban Company Limited,90
Update experience details,Instakart Services Private Limited,68
Update experience details,Vodafone Idea Limited,52
Update experience details,Havells India Limited,45
Update experience details,Axis Bank Limited,32
Update experience details,Sbi Cards And Payment Services Limited,23
Update experience details,Pocket Entertainment Ventures Private Limited,23
Update experience details,Xiaomi Technology India Private Limited,22
Update experience details,Hindustan Field Services Pvt Ltd,20
Update experience details,Bharti Airtel Limited,17
Update experience details,Bharti Airtel Services Limited,17
Update experience details,Behariji Mills Pvt Ltd,9
Update experience details,State Bank Of India,8
Update experience details,Reliance Projects And Property Management Services Limited,7
Upload bank proof,Sbi Cards And Payment Services Limited,1042
Bank proof clarity required,Axis Bank Limited,1025
Update KYC details,Axis Bank Limited,1025
Name not on bank proof,Axis Bank Limited,1025
Upload bank proof,Axis Bank Limited,1025
Upload experience letter,Sbi Cards And Payment Services Limited,778
Upload resume,Sbi Cards And Payment Services Limited,778
Upload experience letter,Samsung India Electronics Private Limited,56
Upload resume,Samsung India Electronics Private Limited,56
Upload experience letter,State Bank Of India,44
Upload resume,State Bank Of India,44
Upload experience letter,Tvs Credit,30
Upload resume,Tvs Credit,30
Upload experience letter,Xiaomi Technology India Private Limited,11
Upload resume,Xiaomi Technology India Private Limited,11
Upload experience letter,Behariji Mills Pvt Ltd,11
Upload resume,Behariji Mills Pvt Ltd,11
Upload experience letter,Poonawalla Fincorp Limited,8
Upload resume,Poonawalla Fincorp Limited,8
Upload experience letter,Vodafone Idea Limited,3
Upload resume,Vodafone Idea Limited,3
Upload experience letter,Reliance Projects And Property Management Services Limited,2
